[StudentAgent] Player 1 chose move with value=-48.12, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-48.12, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-7.01, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=-8.39, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=1.62, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=8.61, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=13.18, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=14.74, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-4.04, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-0.30, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=3.42, final depth=2, time=1.600s
[StudentAgent] Player 1 chose move with value=-20.12, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-24.34, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-16.06, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-46.45, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-30.09, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-23.88, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-23.62, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=10.35, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=11.26, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=11.67, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=16.12, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=21.06, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=29.88, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=38.46, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=44.38, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=48.38, final depth=4, time=1.601s
[StudentAgent] Player 1 chose move with value=50.28, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=12.94, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=19.10, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=24.71, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=6, time=0.522s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=6, time=0.024s
[StudentAgent] Player 2 chose move with value=-24.92, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-13.89, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-33.54, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-85.76, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-49.33, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-37.76, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-4.30, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-3.14, final depth=4, time=1.601s
[StudentAgent] Player 2 chose move with value=-3.14, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-34.47, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-15.82, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-42.54, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=-42.54, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-63.07, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-57.16, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-56.12, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-42.00, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-38.74, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-16.10, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-14.82, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-20.45, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-23.67, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=6.17, final depth=2, time=1.603s
[StudentAgent] Player 2 chose move with value=1.45, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-6.59, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-19.14, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-14.13, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-8.74, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=5.22, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-22.94, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-5.31, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=2.34, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=-4.54, final depth=2, time=1.601s
[StudentAgent] Player 2 chose move with value=3.36, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=9.76, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=10.53, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=18.61, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=23.37, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=34.83, final depth=4, time=1.601s
[StudentAgent] Player 2 chose move with value=46.16, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=55.56, final depth=3, time=1.601s
[StudentAgent] Player 2 chose move with value=68.44, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=76.05, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=83.73, final depth=4, time=1.601s
[StudentAgent] Player 2 chose move with value=10000.00, final depth=5, time=1.601s
