[StudentAgent] Player 1 chose move with value=-41.82, final depth=3, time=1.601s
[StudentAgent] Player 1 chose move with value=-24.97, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-20.82, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-46.98, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-41.20, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=-31.49, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-34.60, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-25.16, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=-5.53, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=5.73, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=11.42, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=20.41, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=23.27, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=25.25, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=29.94, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=32.87, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=41.07, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=43.79, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=42.43, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=46.27, final depth=3, time=1.600s
[StudentAgent] Player 1 chose move with value=38.82, final depth=3, time=1.601s
[StudentAgent] Player 1 chose move with value=30.30, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=36.91, final depth=3, time=1.602s
[StudentAgent] Player 1 chose move with value=37.39, final depth=4, time=1.600s
[StudentAgent] Player 1 chose move with value=45.63, final depth=4, time=1.601s
[StudentAgent] Player 1 chose move with value=55.26, final depth=5, time=1.600s
[StudentAgent] Player 1 chose move with value=10000.00, final depth=6, time=0.014s
[StudentAgent] Player 2 chose move with value=-15.14, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=4.17, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=-25.31, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-61.53, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-27.45, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-12.18, final depth=5, time=1.600s
[StudentAgent] Player 2 chose move with value=-11.74, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=12.25, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=13.02, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=13.02, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=-0.40, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=28.33, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=27.94, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=36.51, final depth=2, time=1.600s
[StudentAgent] Player 2 chose move with value=27.26, final depth=4, time=1.600s
[StudentAgent] Player 2 chose move with value=29.17, final depth=3, time=1.600s
[StudentAgent] Player 2 chose move with value=24.30, final depth=2, time=1.600s
